YEAR,MONTH_NUM,MONTH_MON,APT_ICAO,APT_NAME,STATE_NAME,FLT_TXO_UNIMP_2,TIME_TXO_UNIMP_2,TIME_TXO_ADD_2,Pivot Label
2014,1,JAN,EBBR,Brussels,Belgium,"7,290","60,081","15,175",Brussels (EBBR)
2014,2,FEB,EBBR,Brussels,Belgium,"6,865","56,531","12,455",Brussels (EBBR)
2014,3,MAR,EBBR,Brussels,Belgium,"7,886","64,996","22,946",Brussels (EBBR)
2014,4,APR,EBBR,Brussels,Belgium,"8,913","73,926","21,050",Brussels (EBBR)
2014,5,MAY,EBBR,Brussels,Belgium,"9,562","80,221","25,846",Brussels (EBBR)
2014,6,JUN,EBBR,Brussels,Belgium,"9,842","83,880","25,098",Brussels (EBBR)
2014,7,JUL,EBBR,Brussels,Belgium,"10,091","85,057","23,551",Brussels (EBBR)
2014,8,AUG,EBBR,Brussels,Belgium,"9,581","78,606","20,710",Brussels (EBBR)
2014,9,SEP,EBBR,Brussels,Belgium,"9,908","85,769","26,779",Brussels (EBBR)
2014,10,OCT,EBBR,Brussels,Belgium,"9,591","77,991","21,323",Brussels (EBBR)
2014,11,NOV,EBBR,Brussels,Belgium,"8,262","68,724","18,056",Brussels (EBBR)
2014,12,DEC,EBBR,Brussels,Belgium,"7,106","60,154","18,031",Brussels (EBBR)
2014,1,JAN,EDDB,Berlin/ Schoenefeld,Germany,"2,283","20,608","6,598",Berlin/ Schoenefeld (EDDB)
2014,2,FEB,EDDB,Berlin/ Schoenefeld,Germany,"2,373","19,037","2,877",Berlin/ Schoenefeld (EDDB)
2014,3,MAR,EDDB,Berlin/ Schoenefeld,Germany,"2,690","22,916","2,975",Berlin/ Schoenefeld (EDDB)
2014,4,APR,EDDB,Berlin/ Schoenefeld,Germany,"2,819","25,210","1,761",Berlin/ Schoenefeld (EDDB)
2014,5,MAY,EDDB,Berlin/ Schoenefeld,Germany,"3,007","25,606","2,356",Berlin/ Schoenefeld (EDDB)
2014,6,JUN,EDDB,Berlin/ Schoenefeld,Germany,"3,055","24,425","1,664",Berlin/ Schoenefeld (EDDB)
2014,7,JUL,EDDB,Berlin/ Schoenefeld,Germany,"2,849","24,874","1,352",Berlin/ Schoenefeld (EDDB)
