"YEAR","MONTH","ICAO","NAME","STATE","ASMA_RADIUS","FLIGHTS_UNIMPEDED","TIME_REF","TIME_ADD","LABEL"
2014,"JAN","EBBR","Brussels","Belgium",40,7227,89640,6759,"Brussels (EBBR)"
2014,"FEB","EBBR","Brussels","Belgium",40,6633,82802,7513,"Brussels (EBBR)"
2014,"MAR","EBBR","Brussels","Belgium",40,8401,105037,7009,"Brussels (EBBR)"
2014,"APR","EBBR","Brussels","Belgium",40,9195,114446,6178,"Brussels (EBBR)"
2014,"MAY","EBBR","Brussels","Belgium",40,9953,124312,8922,"Brussels (EBBR)"
2014,"JUN","EBBR","Brussels","Belgium",40,9980,125388,7669,"Brussels (EBBR)"
2014,"JUL","EBBR","Brussels","Belgium",40,10320,128847,6278,"Brussels (EBBR)"
2014,"AUG","EBBR","Brussels","Belgium",40,9977,123792,6923,"Brussels (EBBR)"
2014,"SEP","EBBR","Brussels","Belgium",40,10133,127991,8089,"Brussels (EBBR)"
2014,"OCT","EBBR","Brussels","Belgium",40,9923,121976,9637,"Brussels (EBBR)"
2014,"NOV","EBBR","Brussels","Belgium",40,8436,104958,7629,"Brussels (EBBR)"
2014,"DEC","EBBR","Brussels","Belgium",40,7432,92632,12256,"Brussels (EBBR)"
2014,"JAN","EDDF","Frankfurt","Germany",40,17367,235782,47062,"Frankfurt (EDDF)"
2014,"FEB","EDDF","Frankfurt","Germany",40,16436,220151,51123,"Frankfurt (EDDF)"
2014,"MAR","EDDF","Frankfurt","Germany",40,18611,261918,48996,"Frankfurt (EDDF)"
2014,"APR","EDDF","Frankfurt","Germany",40,18226,254277,44983,"Frankfurt (EDDF)"
2014,"MAY","EDDF","Frankfurt","Germany",40,20569,288932,54857,"Frankfurt (EDDF)"
2014,"JUN","EDDF","Frankfurt","Germany",40,20260,290055,46040,"Frankfurt (EDDF)"
2014,"JUL","EDDF","Frankfurt","Germany",40,20873,291793,44281,"Frankfurt (EDDF)"
2014,"AUG","EDDF","Frankfurt","Germany",40,20978,281547,47558,"Frankfurt (EDDF)"
2014,"SEP","EDDF","Frankfurt","Germany",40,20602,295072,46484,"Frankfurt (EDDF)"
2014,"OCT","EDDF","Frankfurt","Germany",40,20515,282005,56616,"Frankfurt (EDDF)"
2014,"NOV","EDDF","Frankfurt","Germany",40,17962,256377,53950,"Frankfurt (EDDF)"
2014,"DEC","EDDF","Frankfurt","Germany",40,16001,215575,53477,"Frankfurt (EDDF)"
2014,"JAN","EDDH","Hamburg","Germany",40,4830,63104,7241,"Hamburg (EDDH)"
2014,"FEB","EDDH","Hamburg","Germany",40,4827,63731,4317,"Hamburg (EDDH)"
2014,"MAR","EDDH","Hamburg","Germany",40,5548,70591,5289,"Hamburg (EDDH)"
2014,"APR","EDDH","Hamburg","Germany",40,5667,70764,7018,"Hamburg (EDDH)"
2014,"MAY","EDDH","Hamburg","Germany",40,6414,80449,8204,"Hamburg (EDDH)"
2014,"JUN","EDDH","Hamburg","Germany",40,6225,78359,6861,"Hamburg (EDDH)"
2014,"JUL","EDDH","Hamburg","Germany",40,6368,78998,7171,"Hamburg (EDDH)"
2014,"AUG","EDDH","Hamburg","Germany",40,6185,80714,4858,"Hamburg (EDDH)"
2014,"SEP","EDDH","Hamburg","Germany",40,6429,79500,9335,"Hamburg (EDDH)"
2014,"OCT","EDDH","Hamburg","Germany",40,6575,86293,8058,"Hamburg (EDDH)"
2014,"NOV","EDDH","Hamburg","Germany",40,5766,74642,9926,"Hamburg (EDDH)"
2014,"DEC","EDDH","Hamburg","Germany",40,5184,66870,10425,"Hamburg (EDDH)"
2014,"JAN","EDDK","Cologne-Bonn","Germany",40,3887,47280,2523,"Cologne-Bonn (EDDK)"
2014,"FEB","EDDK","Cologne-Bonn","Germany",40,3660,44784,3210,"Cologne-Bonn (EDDK)"
2014,"MAR","EDDK","Cologne-Bonn","Germany",40,4126,50649,2276,"Cologne-Bonn (EDDK)"
2014,"APR","EDDK","Cologne-Bonn","Germany",40,4488,54470,2182,"Cologne-Bonn (EDDK)"
2014,"MAY","EDDK","Cologne-Bonn","Germany",40,5144,61874,3215,"Cologne-Bonn (EDDK)"
2014,"JUN","EDDK","Cologne-Bonn","Germany",40,5107,61160,2238,"Cologne-Bonn (EDDK)"
2014,"JUL","EDDK","Cologne-Bonn","Germany",40,5437,65693,2693,"Cologne-Bonn (EDDK)"
