"YEAR","MONTH","NAME","TYPE","FLIGHTS_TOTAL","DELAY","A","C","D","E","G","I","M","N","O","P","R","S","T","V","W","NA","FLIGHTS_DELAYED","FLIGHTS_DELAYED_15","DELAY_AVG","A_AVG","C_AVG","D_AVG","E_AVG","G_AVG","I_AVG","M_AVG","N_AVG","O_AVG","P_AVG","R_AVG","S_AVG","T_AVG","V_AVG","W_AVG","NA_AVG"
2011,"APR","Albcontrol","ANSP (AUA)",14778,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,"APR","ANA LUX","ANSP (AUA)",5129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,"APR","ANS CR","ANSP (AUA)",53070,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,"APR","ANS Finland","ANSP (AUA)",21743,24197,NA,601,NA,NA,NA,NA,NA,NA,NA,NA,NA,23596,NA,NA,NA,NA,1293,716,1.11286391022398,NA,0.02764107988778,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0852228303362,NA,NA,NA,NA
2011,"APR","ARMATS","ANSP (AUA)",4273,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,"APR","Austro Control","ANSP (AUA)",72220,10565,NA,8474,NA,NA,NA,NA,NA,NA,NA,NA,NA,1308,NA,NA,783,NA,751,284,0.146289116588203,NA,0.117335918028247,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0181113265023539,NA,NA,0.0108418720576018,NA
2011,"APR","Avinor","ANSP (AUA)",44612,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,"APR","Belgocontrol","ANSP (AUA)",47197,1630,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1630,NA,NA,NA,NA,128,45,0.0345360933957667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0345360933957667,NA,NA,NA,NA
2011,"APR","BULATSA","ANSP (AUA)",38600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,"APR","Croatia Control","ANSP (AUA)",38317,39,NA,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0,0.00101782498629851,NA,0.00101782498629851,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,"APR","DCAC Cyprus","ANSP (AUA)",24195,62185,NA,62098,NA,NA,NA,NA,NA,NA,NA,NA,NA,87,NA,NA,NA,NA,3043,1865,2.57015912378591,NA,2.56656333953296,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00359578425294482,NA,NA,NA,NA
2011,"APR","DFS","ANSP (AUA)",232198,144640,NA,25419,NA,NA,NA,NA,NA,NA,1037,50233,2305,48800,9418,NA,7428,NA,9672,3944,0.622916648722211,NA,0.109471227142353,NA,NA,NA,NA,NA,NA,0.00446601607248986,0.216336919353311,0.00992687275514862,0.210165462234817,0.0405602115435964,NA,0.0319899396204963,NA
2011,"APR","DHMI","ANSP (AUA)",76658,267,NA,267,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,8,0.00348300242636124,NA,0.00348300242636124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,"APR","DSNA","ANSP (AUA)",242251,58280,NA,50453,NA,NA,155,3782,NA,72,NA,NA,NA,2676,20,NA,1122,NA,3940,1681,0.240576922283087,NA,0.208267458132268,NA,NA,0.000639832240114592,0.015611906658796,NA,0.000297212395408068,NA,NA,NA,0.0110463940293332,8.25589987244635e-05,NA,0.0046315598284424,NA
