"YEAR","NAME","TYPE","FLIGHTS_TOTAL","DELAY","A","C","D","E","G","I","M","N","O","P","R","S","T","V","W","NA","FLIGHTS_DELAYED","FLIGHTS_DELAYED_15","DELAY_AVG","A_AVG","C_AVG","D_AVG","E_AVG","G_AVG","I_AVG","M_AVG","N_AVG","O_AVG","P_AVG","R_AVG","S_AVG","T_AVG","V_AVG","W_AVG","NA_AVG","FLIGHTS_DELAYED_AVG","FLIGHTS_DELAYED_15_AVG","TARGET"
2011,"Albcontrol","ANSP (AUA)",197505,96331,0,84388,0,0,0,0,0,0,0,0,0,3950,4745,0,3248,0,4608,2715,0.487739550897446,0,0.427270195691248,0,0,0,0,0,0,0,0,0,0.0199994936837042,0.0240247082352345,0,0.0164451532872586,0,0.0233310549100023,0.013746487430698,NA
2011,"All ANSP (AUA)","ANSP (AUA)",27887744,11203196,14,6087302,0,25,19478,90372,42182,519,130894,256638,59230,2827305,418938,0,1270299,0,558430,295894,0.401724714627329,5.02012640391421e-07,0.218278753562855,0,8.96451143556108e-07,0.000698443014967435,0.0032405633098181,0.00151256408549935,1.86103257402248e-05,0.00469360303938533,0.0092025371431981,0.00212387204931313,0.101381632017276,0.0150222979671644,0,0.0455504396483272,0,0.0200242084838415,0.0106101805868556,NA
2011,"All AREA (AUA)","AREA (AUA)",19169823,21877119,28,11773130,0,50,38202,180744,83161,1038,247881,508862,119242,5655581,791625,0,2477575,0,1089054,577246,1.1412269690753,1.46062903136873e-06,0.614149123859933,0,2.60826612744416e-06,0.00199281965201244,0.00942856905877535,0.00433812038848768,5.41476048057408e-05,0.0129307923187397,0.0265449503628698,0.00622029739137393,0.295025207066335,0.0412953734627597,0,0.129243499014049,0,0.0568108531831515,0.0301122237800526,NA
2011,"ANA LUX","ANSP (AUA)",61144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
2011,"ANS CR","ANSP (AUA)",678054,4446,0,2384,0,0,0,0,0,0,0,0,0,4,1578,0,480,0,264,119,0.00655699988496491,0,0.00351594415783994,0,0,0,0,0,0,0,0,0,5.89923516416097e-06,0.0023272482722615,0,0.000707908219699316,0,0.000389349520834624,0.000175502246133789,NA
2011,"ANS Finland","ANSP (AUA)",257591,126062,0,4296,0,0,0,0,0,0,0,0,0,119833,1405,0,528,0,6110,3624,0.489388216203206,0,0.0166776013137105,0,0,0,0,0,0,0,0,0,0.465206470722968,0.00545438311121118,0,0.00204976105531637,0,0.0237197728181497,0.0140688145160351,NA
2011,"ARMATS","ANSP (AUA)",57173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
2011,"Austro Control","ANSP (AUA)",910560,165854,0,85715,0,0,0,0,0,0,2692,0,0,37605,1517,0,38325,0,9016,4778,0.182145053593393,0,0.0941343788437884,0,0,0,0,0,0,0.00295642242136707,0,0,0.0412987612018977,0.00166600773150589,0,0.0420894833948339,0,0.00990159901599016,0.00524732033034616,NA
2011,"Avinor","ANSP (AUA)",566440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
2011,"Belgocontrol","ANSP (AUA)",572095,23291,0,2844,0,0,0,0,0,0,245,0,0,15309,1678,0,3215,0,1532,627,0.040711769898356,0,0.00497120233527648,0,0,0,0,0,0,0.000428250552792805,0,0,0.0267595416845104,0.00293307929627072,0,0.00561969602950559,0,0.00267787692603501,0.00109597182286159,NA
2011,"BULATSA","ANSP (AUA)",539295,31749,0,31749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1286,859,0.0588713042027091,0,0.0588713042027091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00238459470234287,0.00159282025607506,NA
2011,"Croatia Control","ANSP (AUA)",497247,256581,0,187995,0,0,0,0,475,0,265,0,0,7024,1047,0,59775,0,15163,7274,0.516003113140954,0,0.378071662574133,0,0,0,0,0.000955259659686232,0,0.00053293433645653,0,0,0.0141257765255497,0.00210559339724523,0,0.120211886647883,0,0.0304938994101523,0.0146285447674898,NA
2011,"DCAC Cyprus","ANSP (AUA)",281403,454511,0,424688,0,0,0,0,210,0,0,0,0,26390,2409,0,814,0,21266,12516,1.61516046381879,0,1.50918078343159,0,0,0,0,0.000746260700845407,0,0,0,0,0.0937800947395728,0.00856067632541231,0,0.0028926486213722,0,0.0755713336389449,0.0444771377703862,NA
2011,"DFS","ANSP (AUA)",2844889,2447414,0,738938,0,0,1142,22,8988,0,13953,218579,33168,791922,37740,0,602962,0,135241,68303,0.860284531312118,0,0.259742295745106,0,0,0.000401421637188657,7.73316639067464e-06,0.00315934997815381,0,0.00490458502950379,0.0768321716594215,0.0116588028566317,0.278366572474357,0.0132658954356391,0,0.211945703329726,0,0.0475382343564195,0.0240090210901023,NA
2011,"DHMI","ANSP (AUA)",1003692,184082,0,121646,0,0,754,0,0,0,14227,0,0,0,47455,0,0,0,7945,4775,0.183404869222829,0,0.121198535008748,0,0,0.000751226471865871,0,0,0,0.0141746671289599,0,0,0,0.0472804406132559,0,0,0,0.00791577495885192,0.00475743554795694,NA
2011,"DSNA","ANSP (AUA)",2881067,1282364,14,965527,0,25,3080,66939,10751,72,42213,2270,8275,38015,7345,0,137838,0,72284,36850,0.44510037427106,4.85931080394868e-06,0.335128270186011,0,8.67734072133692e-06,0.00106904837686871,0.0232341004218229,0.00373160360380373,2.49907412774503e-05,0.0146518633547918,0.000787902537497392,0.00287219977876252,0.0131947643008649,0.00254940270392879,0,0.0478426916139055,0,0.0250893158680447,0.0127904002232506,NA
2011,"EANS","ANSP (AUA)",177818,3981,0,3981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,279,120,0.0223880597014925,0,0.0223880597014925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00156902000922291,0.000674847315794801,NA
2011,"ENAIRE","ANSP (AUA)",1772195,2770832,0,2255845,0,0,10640,0,7225,0,16302,31,107,218794,14272,0,247616,0,150612,76113,1.56350288766191,0,1.27291014814961,0,0,0.00600385397769433,0,0.00407686513053022,0,0.00919876198725309,1.7492431701929e-05,6.03771029711742e-05,0.123459325864253,0.00805328984677194,0,0.139722773171124,0,0.0849861330158363,0.0429484340041587,NA
2011,"ENAV","ANSP (AUA)",1594589,21290,0,12683,0,0,0,1086,0,0,0,0,0,0,2749,0,4772,0,1118,637,0.0133514027752606,0,0.00795377366832456,0,0,0,0.000681053236915594,0,0,0,0,0,0,0.00172395520099537,0,0.00299262066902506,0,0.000701121103933365,0.000399475977822498,NA
2011,"EUROCONTROL Area (MS)","AREA (AUA)",9868661,11238639,14,6095041,0,25,19478,90372,43197,519,133635,260395,60012,2839718,425934,0,1270299,0,560250,296907,1.13882106194549,1.41863217309826e-06,0.617615804210926,0,2.53327173767546e-06,0.0019737226762577,0.00915747333908825,0.00437718957009467,5.25907212741425e-05,0.0135413507465704,0.02638605176528,0.00608106814085518,0.287751094094731,0.0431602625726023,0,0.128720502203896,0,0.056770619641307,0.0300858444727203,NA
2011,"HCAA","ANSP (AUA)",655638,1935028,0,333845,0,0,0,22325,0,0,0,0,246,1367016,203490,0,8106,0,49385,37090,2.95136645526952,0,0.509191047498772,0,0,0,0.0340508024245086,0,0,0,0,0.000375207050231988,2.08501642674769,0.310369441673606,0,0.0123635298747175,0,0.0753235779500273,0.0565708515979855,NA
2011,"HungaroControl (EC)","ANSP (AUA)",616579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
