"YEAR","MONTH","ICAO","NAME","STATE","FLIGHTS_TOTAL","DELAY","A","C","D","E","G","I","M","N","O","P","R","S","T","V","W","NA","DELAY_AVG","A_AVG","C_AVG","D_AVG","E_AVG","G_AVG","I_AVG","M_AVG","N_AVG","O_AVG","P_AVG","R_AVG","S_AVG","T_AVG","V_AVG","W_AVG","NA_AVG","LABEL"
2014,"APR","EBAW","Antwerp","Belgium",529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Antwerp (EBAW) "
2014,"APR","EBBR","Brussels","Belgium",9546,8889,0,0,0,0,0,0,0,0,0,0,0,867,0,0,8022,0,0.93117536140792,0,0,0,0,0,0,0,0,0,0,0,0.0908233815210559,0,0,0.840351979886864,0,"Brussels (EBBR) "
2014,"APR","EBCI","Charleroi","Belgium",2034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Charleroi (EBCI) "
2014,"APR","EBLG","Liège","Belgium",1146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Liège (EBLG) "
2014,"APR","EBOS","Ostend-Bruges","Belgium",234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Ostend-Bruges (EBOS) "
2014,"APR","EDDB","Berlin/ Schoenefeld","Germany",2818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Berlin/ Schoenefeld (EDDB) "
2014,"APR","EDDC","Dresden","Germany",836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Dresden (EDDC) "
2014,"APR","EDDE","Erfurt","Germany",204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Erfurt (EDDE) "
2014,"APR","EDDF","Frankfurt","Germany",18812,16811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16811,0,0.893631724431214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.893631724431214,0,"Frankfurt (EDDF) "
2014,"APR","EDDG","Muenster-Osnabrueck","Germany",666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Muenster-Osnabrueck (EDDG) "
2014,"APR","EDDH","Hamburg","Germany",5972,199,0,0,0,199,0,0,0,0,0,0,0,0,0,0,0,0,0.0333221701272605,0,0,0,0.0333221701272605,0,0,0,0,0,0,0,0,0,0,0,0,"Hamburg (EDDH) "
2014,"APR","EDDK","Cologne-Bonn","Germany",4810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Cologne-Bonn (EDDK) "
2014,"APR","EDDL","Dusseldorf","Germany",8448,2339,0,0,0,0,230,0,0,0,0,0,0,0,0,0,2109,0,0.276870265151515,0,0,0,0,0.0272253787878788,0,0,0,0,0,0,0,0,0,0.249644886363636,0,"Dusseldorf (EDDL) "
2014,"APR","EDDM","Munich","Germany",14800,1039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1039,0,0.0702027027027027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0702027027027027,0,"Munich (EDDM) "
2014,"APR","EDDN","Nuremberg","Germany",1914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Nuremberg (EDDN) "
2014,"APR","EDDP","Leipzig-Halle","Germany",2405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Leipzig-Halle (EDDP) "
2014,"APR","EDDR","Saarbruecken","Germany",378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Saarbruecken (EDDR) "
2014,"APR","EDDS","Stuttgart","Germany",4582,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0.00785683107813182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00785683107813182,0,"Stuttgart (EDDS) "
2014,"APR","EDDT","Berlin/ Tegel","Germany",7420,3521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3521,0,0.474528301886792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.474528301886792,0,"Berlin/ Tegel (EDDT) "
2014,"APR","EDDV","Hanover","Germany",2604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Hanover (EDDV) "
2014,"APR","EDDW","Bremen","Germany",1495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bremen (EDDW) "
2014,"APR","EETN","Tallinn","Estonia",1460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Tallinn (EETN) "
2014,"APR","EETU","Tartu","Estonia",29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Tartu (EETU) "
2014,"APR","EFHK","Helsinki/ Vantaa","Finland",6990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Helsinki/ Vantaa (EFHK) "
2014,"APR","EGAA","Belfast/Aldergrove","United Kingdom",1542,14,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0.00907911802853437,0,0,0,0,0,0,0,0,0.00907911802853437,0,0,0,0,0,0,0,"Belfast/Aldergrove (EGAA) "
2014,"APR","EGAC","Belfast/City Airport","United Kingdom",1516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Belfast/City Airport (EGAC) "
2014,"APR","EGAE","Londonderry/Eglinton","United Kingdom",107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Londonderry/Eglinton (EGAE) "
2014,"APR","EGBB","Birmingham","United Kingdom",3836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Birmingham (EGBB) "
2014,"APR","EGCC","Manchester","United Kingdom",6886,1495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1495,0,0.217107173976184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.217107173976184,0,"Manchester (EGCC) "
2014,"APR","EGGW","London/ Luton","United Kingdom",4268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"London/ Luton (EGGW) "
2014,"APR","EGHI","Southampton","United Kingdom",1633,56,0,0,0,0,0,0,0,0,0,0,0,48,0,0,8,0,0.0342927127985303,0,0,0,0,0,0,0,0,0,0,0,0.0293937538273117,0,0,0.00489895897121862,0,"Southampton (EGHI) "
2014,"APR","EGKB","Biggin Hill","United Kingdom",448,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0.0133928571428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0133928571428571,0,"Biggin Hill (EGKB) "
2014,"APR","EGKK","London/ Gatwick","United Kingdom",10949,4989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4989,0,0.455658050963558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.455658050963558,0,"London/ Gatwick (EGKK) "
2014,"APR","EGLC","London/ City","United Kingdom",2998,3703,0,0,0,0,0,0,0,0,74,0,0,0,0,0,3629,0,1.23515677118079,0,0,0,0,0,0,0,0,0.0246831220813876,0,0,0,0,0,1.2104736490994,0,"London/ City (EGLC) "
2014,"APR","EGLF","Farnborough","United Kingdom",835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Farnborough (EGLF) "
2014,"APR","EGLL","London/ Heathrow","United Kingdom",19432,35244,0,0,0,0,0,0,0,0,3012,0,0,0,0,0,32232,0,1.81370934540963,0,0,0,0,0,0,0,0,0.155002058460272,0,0,0,0,0,1.65870728694936,0,"London/ Heathrow (EGLL) "
2014,"APR","EGNX","East Midlands","United Kingdom",2742,147,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0536105032822757,0.0536105032822757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"East Midlands (EGNX) "
2014,"APR","EGPD","Aberdeen","United Kingdom",2998,3784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3784,0,1.26217478318879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.26217478318879,0,"Aberdeen (EGPD) "
2014,"APR","EGPF","Glasgow","United Kingdom",3155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Glasgow (EGPF) "
2014,"APR","EGPH","Edinburgh","United Kingdom",4532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Edinburgh (EGPH) "
2014,"APR","EGSS","London/ Stansted","United Kingdom",6618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"London/ Stansted (EGSS) "
2014,"APR","EHAM","Amsterdam/ Schiphol","Netherlands",18744,33900,0,3360,0,0,1247,0,0,0,0,0,0,0,0,0,29293,0,1.80857874519846,0,0.179257362355954,0,0,0.0665279556124626,0,0,0,0,0,0,0,0,0,1.56279342723005,0,"Amsterdam/ Schiphol (EHAM) "
2014,"APR","EHBK","Maastricht-Aachen","Netherlands",324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Maastricht-Aachen (EHBK) "
2014,"APR","EHGG","Groningen","Netherlands",626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Groningen (EHGG) "
2014,"APR","EHRD","Rotterdam","Netherlands",1114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Rotterdam (EHRD) "
2014,"APR","EICK","Cork","Ireland",1002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Cork (EICK) "
2014,"APR","EICM","Galway Carnmore","Ireland",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Galway Carnmore (EICM) "
2014,"APR","EIDL","Donegal","Ireland",84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Donegal (EIDL) "
2014,"APR","EIDW","Dublin","Ireland",7556,238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,238,0,0.0314981471678137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0314981471678137,0,"Dublin (EIDW) "
2014,"APR","EIKN","Connaught","Ireland",290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Connaught (EIKN) "
2014,"APR","EIKY","Kerry/Farranfore","Ireland",167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Kerry/Farranfore (EIKY) "
2014,"APR","EINN","Shannon","Ireland",1001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Shannon (EINN) "
2014,"APR","EISG","Sligo","Ireland",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Sligo (EISG) "
2014,"APR","EIWF","Waterford","Ireland",51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Waterford (EIWF) "
2014,"APR","EIWT","Weston","Ireland",39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Weston (EIWT) "
2014,"APR","EKCH","Copenhagen/ Kastrup","Denmark",10588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Copenhagen/ Kastrup (EKCH) "
2014,"APR","ELLX","Luxembourg","Luxembourg",2514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Luxembourg (ELLX) "
