"YEAR","MONTH","ICAO","NAME","STATE","FLIGHTS_NM","FLIGHTS_APT","DELAY_APT","FLIGHTS_AL","DELAY_AL","LABEL"
2014,"APR","EBAW","Antwerp","Belgium",533,NA,NA,NA,NA,"Antwerp (EBAW) "
2014,"APR","EBBR","Brussels","Belgium",9546,9792,4664,7526,4359,"Brussels (EBBR) "
2014,"APR","EBCI","Charleroi","Belgium",2045,NA,NA,1819,29,"Charleroi (EBCI) "
2014,"APR","EBLG","Liège","Belgium",1152,NA,NA,773,350,"Liège (EBLG) "
2014,"APR","EBOS","Ostend-Bruges","Belgium",228,NA,NA,51,0,"Ostend-Bruges (EBOS) "
2014,"APR","EDDB","Berlin/ Schoenefeld","Germany",2789,NA,NA,1893,631,"Berlin/ Schoenefeld (EDDB) "
2014,"APR","EDDC","Dresden","Germany",834,NA,NA,626,21,"Dresden (EDDC) "
2014,"APR","EDDE","Erfurt","Germany",196,NA,NA,82,0,"Erfurt (EDDE) "
2014,"APR","EDDF","Frankfurt","Germany",18812,NA,NA,14766,15631,"Frankfurt (EDDF) "
2014,"APR","EDDG","Muenster-Osnabrueck","Germany",637,NA,NA,283,15,"Muenster-Osnabrueck (EDDG) "
2014,"APR","EDDH","Hamburg","Germany",5957,NA,NA,4988,1168,"Hamburg (EDDH) "
2014,"APR","EDDK","Cologne-Bonn","Germany",4795,NA,NA,3010,1402,"Cologne-Bonn (EDDK) "
2014,"APR","EDDL","Dusseldorf","Germany",8442,NA,NA,7000,1959,"Dusseldorf (EDDL) "
2014,"APR","EDDM","Munich","Germany",14796,NA,NA,12154,2722,"Munich (EDDM) "
2014,"APR","EDDN","Nuremberg","Germany",1889,1943,200,1437,173,"Nuremberg (EDDN) "
2014,"APR","EDDP","Leipzig-Halle","Germany",2403,NA,NA,1275,99,"Leipzig-Halle (EDDP) "
2014,"APR","EDDR","Saarbruecken","Germany",375,NA,NA,249,2,"Saarbruecken (EDDR) "
2014,"APR","EDDS","Stuttgart","Germany",4605,NA,NA,3286,261,"Stuttgart (EDDS) "
2014,"APR","EDDT","Berlin/ Tegel","Germany",7423,NA,NA,6793,3241,"Berlin/ Tegel (EDDT) "
2014,"APR","EDDV","Hanover","Germany",2568,NA,NA,1899,301,"Hanover (EDDV) "
2014,"APR","EDDW","Bremen","Germany",1493,NA,NA,1059,64,"Bremen (EDDW) "
2014,"APR","EETN","Tallinn","Estonia",1463,NA,NA,647,29,"Tallinn (EETN) "
2014,"APR","EETU","Tartu","Estonia",28,NA,NA,NA,NA,"Tartu (EETU) "
2014,"APR","EFHK","Helsinki/ Vantaa","Finland",6982,7060,621,5826,507,"Helsinki/ Vantaa (EFHK) "
2014,"APR","EGAA","Belfast/Aldergrove","United Kingdom",1552,NA,NA,1186,239,"Belfast/Aldergrove (EGAA) "
2014,"APR","EGAC","Belfast/City Airport","United Kingdom",1514,NA,NA,1367,113,"Belfast/City Airport (EGAC) "
2014,"APR","EGAE","Londonderry/Eglinton","United Kingdom",106,NA,NA,96,5,"Londonderry/Eglinton (EGAE) "
2014,"APR","EGBB","Birmingham","United Kingdom",3799,3473,549,3365,627,"Birmingham (EGBB) "
2014,"APR","EGCC","Manchester","United Kingdom",6886,6894,3561,5584,3884,"Manchester (EGCC) "
2014,"APR","EGGW","London/ Luton","United Kingdom",4258,NA,NA,3002,2091,"London/ Luton (EGGW) "
2014,"APR","EGHI","Southampton","United Kingdom",1632,NA,NA,1197,379,"Southampton (EGHI) "
2014,"APR","EGKB","Biggin Hill","United Kingdom",438,NA,NA,NA,NA,"Biggin Hill (EGKB) "
2014,"APR","EGKK","London/ Gatwick","United Kingdom",10941,NA,NA,10007,6043,"London/ Gatwick (EGKK) "
2014,"APR","EGLC","London/ City","United Kingdom",2998,NA,NA,1632,1214,"London/ City (EGLC) "
2014,"APR","EGLF","Farnborough","United Kingdom",838,NA,NA,2,25,"Farnborough (EGLF) "
2014,"APR","EGLL","London/ Heathrow","United Kingdom",19433,NA,NA,15453,7737,"London/ Heathrow (EGLL) "
2014,"APR","EGNX","East Midlands","United Kingdom",2677,NA,NA,1502,571,"East Midlands (EGNX) "
2014,"APR","EGPD","Aberdeen","United Kingdom",3005,NA,NA,1397,147,"Aberdeen (EGPD) "
2014,"APR","EGPF","Glasgow","United Kingdom",3158,NA,NA,2174,398,"Glasgow (EGPF) "
2014,"APR","EGPH","Edinburgh","United Kingdom",4536,NA,NA,3634,680,"Edinburgh (EGPH) "
2014,"APR","EGSS","London/ Stansted","United Kingdom",6620,6623,2273,5659,2921,"London/ Stansted (EGSS) "
2014,"APR","EHAM","Amsterdam/ Schiphol","Netherlands",18743,NA,NA,14988,20183,"Amsterdam/ Schiphol (EHAM) "
2014,"APR","EHBK","Maastricht-Aachen","Netherlands",324,NA,NA,81,0,"Maastricht-Aachen (EHBK) "
2014,"APR","EHGG","Groningen","Netherlands",636,NA,NA,46,0,"Groningen (EHGG) "
2014,"APR","EHRD","Rotterdam","Netherlands",1114,NA,NA,403,411,"Rotterdam (EHRD) "
2014,"APR","EICK","Cork","Ireland",1000,NA,NA,831,25,"Cork (EICK) "
2014,"APR","EICM","Galway Carnmore","Ireland",1,NA,NA,NA,NA,"Galway Carnmore (EICM) "
2014,"APR","EIDL","Donegal","Ireland",83,NA,NA,NA,NA,"Donegal (EIDL) "
2014,"APR","EIDW","Dublin","Ireland",7553,NA,NA,6703,3591,"Dublin (EIDW) "
2014,"APR","EIKN","Connaught","Ireland",288,NA,NA,274,38,"Connaught (EIKN) "
2014,"APR","EIKY","Kerry/Farranfore","Ireland",165,NA,NA,141,0,"Kerry/Farranfore (EIKY) "
2014,"APR","EINN","Shannon","Ireland",1011,NA,NA,685,30,"Shannon (EINN) "
2014,"APR","EISG","Sligo","Ireland",2,NA,NA,NA,NA,"Sligo (EISG) "
2014,"APR","EIWF","Waterford","Ireland",45,NA,NA,30,5,"Waterford (EIWF) "
2014,"APR","EIWT","Weston","Ireland",40,NA,NA,NA,NA,"Weston (EIWT) "
2014,"APR","EKCH","Copenhagen/ Kastrup","Denmark",10568,10573,143,9138,337,"Copenhagen/ Kastrup (EKCH) "
