"YEAR","ICAO","NAME","STATE","FLIGHTS_NM","FLIGHTS_APT","DELAY_APT","FLIGHTS_AL","DELAY_AL"
2014,"EBAW","Antwerp","Belgium",6780,0,0,315,64
2014,"EBBR","Brussels","Belgium",112668,115388,50215,87724,49816
2014,"EBCI","Charleroi","Belgium",23577,0,0,20396,579
2014,"EBLG","Liège","Belgium",15264,0,0,9844,3917
2014,"EBOS","Ostend-Bruges","Belgium",2605,0,0,735,112
2014,"EDDB","Berlin/ Schoenefeld","Germany",33461,0,0,21184,4692
2014,"EDDC","Dresden","Germany",11718,0,0,8403,221
2014,"EDDE","Erfurt","Germany",2525,0,0,1002,44
2014,"EDDF","Frankfurt","Germany",234490,0,0,183041,219736
2014,"EDDG","Muenster-Osnabrueck","Germany",8889,0,0,4093,214
2014,"EDDH","Hamburg","Germany",73251,0,0,60510,13734
2014,"EDDK","Cologne-Bonn","Germany",60091,0,0,37411,12516
2014,"EDDL","Dusseldorf","Germany",105033,0,0,86478,44987
2014,"EDDM","Munich","Germany",187125,0,0,153113,58691
2014,"EDDN","Nuremberg","Germany",24884,25747,3061,18361,2717
2014,"EDDP","Leipzig-Halle","Germany",30260,0,0,16332,2754
2014,"EDDR","Saarbruecken","Germany",4348,0,0,2929,59
2014,"EDDS","Stuttgart","Germany",57015,0,0,40389,5735
2014,"EDDT","Berlin/ Tegel","Germany",90144,0,0,81836,45753
2014,"EDDV","Hanover","Germany",31461,0,0,22625,2759
2014,"EDDW","Bremen","Germany",18183,0,0,12697,906
2014,"EETN","Tallinn","Estonia",17223,0,0,7444,250
2014,"EETU","Tartu","Estonia",476,0,0,121,0
2014,"EFHK","Helsinki/ Vantaa","Finland",83970,85244,12937,71894,12856
2014,"EGAA","Belfast/Aldergrove","United Kingdom",19218,0,0,14757,2762
2014,"EGAC","Belfast/City Airport","United Kingdom",18553,0,0,16717,1518
2014,"EGAE","Londonderry/Eglinton","United Kingdom",1382,0,0,1274,56
2014,"EGBB","Birmingham","United Kingdom",47680,40590,7859,39126,6680
2014,"EGCC","Manchester","United Kingdom",85201,79465,44742,63834,35795
2014,"EGGW","London/ Luton","United Kingdom",51738,0,0,31505,21908
2014,"EGHI","Southampton","United Kingdom",19708,0,0,14157,3662
2014,"EGKB","Biggin Hill","United Kingdom",6027,0,0,0,0
2014,"EGKK","London/ Gatwick","United Kingdom",129960,0,0,116200,85340
2014,"EGLC","London/ City","United Kingdom",37864,0,0,25761,15967
2014,"EGLF","Farnborough","United Kingdom",11791,0,0,20,25
2014,"EGLL","London/ Heathrow","United Kingdom",236369,0,0,185890,123162
2014,"EGNX","East Midlands","United Kingdom",32899,0,0,17169,2766
2014,"EGPD","Aberdeen","United Kingdom",36531,0,0,16702,1093
2014,"EGPF","Glasgow","United Kingdom",39797,0,0,25861,4357
2014,"EGPH","Edinburgh","United Kingdom",53909,0,0,41261,8069
2014,"EGSS","London/ Stansted","United Kingdom",77965,77985,26108,65190,37991
2014,"EHAM","Amsterdam/ Schiphol","Netherlands",224437,0,0,175678,253295
2014,"EHBK","Maastricht-Aachen","Netherlands",4460,0,0,849,24
2014,"EHGG","Groningen","Netherlands",6720,0,0,602,9
2014,"EHRD","Rotterdam","Netherlands",12637,0,0,5431,3427
2014,"EICK","Cork","Ireland",11646,0,0,8031,425
2014,"EICM","Galway Carnmore","Ireland",8,0,0,0,0
2014,"EIDL","Donegal","Ireland",1121,0,0,0,0
2014,"EIDW","Dublin","Ireland",89575,0,0,73229,39650
2014,"EIKN","Connaught","Ireland",3240,0,0,3062,318
2014,"EIKY","Kerry/Farranfore","Ireland",2009,0,0,1240,14
2014,"EINN","Shannon","Ireland",11673,0,0,6171,326
2014,"EISG","Sligo","Ireland",31,0,0,0,0
2014,"EIWF","Waterford","Ireland",550,0,0,289,60
2014,"EIWT","Weston","Ireland",497,0,0,0,0
2014,"EKCH","Copenhagen/ Kastrup","Denmark",125866,125982,3566,102652,5074
2014,"ELLX","Luxembourg","Luxembourg",29513,29461,1350,19850,3125
2014,"ENBR","Bergen","Norway",48778,48949,142,38903,192
2014,"ENGM","Oslo/ Gardermoen","Norway",123839,123307,7944,118898,8168
2014,"ENHD","Haugesund","Norway",4086,4110,0,3816,10
2014,"ENVA","Trondheim","Norway",28606,28558,222,26805,269
2014,"ENZV","Stavanger","Norway",40993,41249,194,29325,189
