"YEAR","MONTH","ICAO","NAME","STATE","FLIGHTS_UNIMPEDED","TIME_REF","TIME_ADD","LABEL"
2014,"JAN","EBBR","Brussels","Belgium",7290,60081,15175,"Brussels (EBBR) "
2014,"FEB","EBBR","Brussels","Belgium",6865,56531,12455,"Brussels (EBBR) "
2014,"MAR","EBBR","Brussels","Belgium",7886,64996,22946,"Brussels (EBBR) "
2014,"APR","EBBR","Brussels","Belgium",8913,73926,21050,"Brussels (EBBR) "
2014,"MAY","EBBR","Brussels","Belgium",9562,80221,25846,"Brussels (EBBR) "
2014,"JUN","EBBR","Brussels","Belgium",9842,83880,25098,"Brussels (EBBR) "
2014,"JUL","EBBR","Brussels","Belgium",10091,85057,23551,"Brussels (EBBR) "
2014,"AUG","EBBR","Brussels","Belgium",9581,78606,20710,"Brussels (EBBR) "
2014,"SEP","EBBR","Brussels","Belgium",9908,85769,26779,"Brussels (EBBR) "
2014,"OCT","EBBR","Brussels","Belgium",9591,77991,21323,"Brussels (EBBR) "
2014,"NOV","EBBR","Brussels","Belgium",8262,68724,18056,"Brussels (EBBR) "
2014,"DEC","EBBR","Brussels","Belgium",7106,60154,18031,"Brussels (EBBR) "
2014,"JAN","EDDB","Berlin/ Schoenefeld","Germany",2283,20608,6598,"Berlin/ Schoenefeld (EDDB) "
2014,"FEB","EDDB","Berlin/ Schoenefeld","Germany",2373,19037,2877,"Berlin/ Schoenefeld (EDDB) "
2014,"MAR","EDDB","Berlin/ Schoenefeld","Germany",2690,22916,2975,"Berlin/ Schoenefeld (EDDB) "
2014,"APR","EDDB","Berlin/ Schoenefeld","Germany",2819,25210,1761,"Berlin/ Schoenefeld (EDDB) "
2014,"MAY","EDDB","Berlin/ Schoenefeld","Germany",3007,25606,2356,"Berlin/ Schoenefeld (EDDB) "
2014,"JUN","EDDB","Berlin/ Schoenefeld","Germany",3055,24425,1664,"Berlin/ Schoenefeld (EDDB) "
2014,"JUL","EDDB","Berlin/ Schoenefeld","Germany",2849,24874,1352,"Berlin/ Schoenefeld (EDDB) "
2014,"AUG","EDDB","Berlin/ Schoenefeld","Germany",2798,21898,1207,"Berlin/ Schoenefeld (EDDB) "
2014,"SEP","EDDB","Berlin/ Schoenefeld","Germany",3019,26176,1834,"Berlin/ Schoenefeld (EDDB) "
2014,"OCT","EDDB","Berlin/ Schoenefeld","Germany",3144,26461,2745,"Berlin/ Schoenefeld (EDDB) "
2014,"NOV","EDDB","Berlin/ Schoenefeld","Germany",2731,24008,2581,"Berlin/ Schoenefeld (EDDB) "
2014,"DEC","EDDB","Berlin/ Schoenefeld","Germany",2570,20643,4788,"Berlin/ Schoenefeld (EDDB) "
2014,"JAN","EDDF","Frankfurt","Germany",17094,188314,55069,"Frankfurt (EDDF) "
