"YEAR","ICAO","NAME","STATE","LABEL","FLIGHTS_UNIMPEDED","TIME_REF","TIME_ADD"
2014,"EBBR","Brussels","Belgium","Brussels (EBBR)",104897,875936,251020
2014,"EDDB","Berlin/ Schoenefeld","Germany","Berlin/ Schoenefeld (EDDB)",33338,281862,32738
2014,"EDDF","Frankfurt","Germany","Frankfurt (EDDF)",222399,2442156,806223
2014,"EDDH","Hamburg","Germany","Hamburg (EDDH)",72109,481709,142161
2014,"EDDK","Cologne-Bonn","Germany","Cologne-Bonn (EDDK)",54539,468474,72011
2014,"EDDL","Dusseldorf","Germany","Dusseldorf (EDDL)",91844,804775,240870
2014,"EDDM","Munich","Germany","Munich (EDDM)",173119,1576599,469939
2014,"EDDN","Nuremberg","Germany","Nuremberg (EDDN)",23709,165648,17843
2014,"EDDP","Leipzig-Halle","Germany","Leipzig-Halle (EDDP)",29464,331025,44463
2014,"EDDS","Stuttgart","Germany","Stuttgart (EDDS)",0,0,0
2014,"EDDT","Berlin/ Tegel","Germany","Berlin/ Tegel (EDDT)",89394,777681,66684
2014,"EDDV","Hanover","Germany","Hanover (EDDV)",29268,236042,23770
2014,"EETN","Tallinn","Estonia","Tallinn (EETN)",0,0,0
2014,"EFHK","Helsinki/ Vantaa","Finland","Helsinki/ Vantaa (EFHK)",78404,581086,160300
2014,"EGBB","Birmingham","United Kingdom","Birmingham (EGBB)",46035,403756,74498
2014,"EGCC","Manchester","United Kingdom","Manchester (EGCC)",72751,782181,282230
2014,"EGGD","Bristol","United Kingdom","Bristol (EGGD)",28332,235253,35201
2014,"EGGW","London/ Luton","United Kingdom","London/ Luton (EGGW)",48662,439708,164455
2014,"EGKK","London/ Gatwick","United Kingdom","London/ Gatwick (EGKK)",108837,1165049,564602
2014,"EGLC","London/ City","United Kingdom","London/ City (EGLC)",37979,186458,84260
2014,"EGLL","London/ Heathrow","United Kingdom","London/ Heathrow (EGLL)",212044,2734237,1853150
2014,"EGNT","Newcastle","United Kingdom","Newcastle (EGNT)",0,0,0
2014,"EGPD","Aberdeen","United Kingdom","Aberdeen (EGPD)",35401,307361,108399
2014,"EGPF","Glasgow","United Kingdom","Glasgow (EGPF)",35713,343379,64183
2014,"EGPH","Edinburgh","United Kingdom","Edinburgh (EGPH)",51544,506834,91104
2014,"EGSS","London/ Stansted","United Kingdom","London/ Stansted (EGSS)",73781,737631,164842
2014,"EHAM","Amsterdam/ Schiphol","Netherlands","Amsterdam/ Schiphol (EHAM)",204686,1979133,581771
2014,"EIDW","Dublin","Ireland","Dublin (EIDW)",80647,750916,266469
2014,"EKCH","Copenhagen/ Kastrup","Denmark","Copenhagen/ Kastrup (EKCH)",116473,1059392,202702
2014,"ELLX","Luxembourg","Luxembourg","Luxembourg (ELLX)",0,0,0
2014,"ENBR","Bergen","Norway","Bergen (ENBR)",0,0,0
2014,"ENGM","Oslo/ Gardermoen","Norway","Oslo/ Gardermoen (ENGM)",0,0,0
2014,"ENVA","Trondheim","Norway","Trondheim (ENVA)",0,0,0
2014,"ENZV","Stavanger","Norway","Stavanger (ENZV)",0,0,0
2014,"EPWA","Warszawa/ Chopina","Poland","Warszawa/ Chopina (EPWA)",65783,515352,193679
2014,"ESGG","Göteborg","Sweden","Göteborg (ESGG)",0,0,0
2014,"ESSA","Stockholm/ Arlanda","Sweden","Stockholm/ Arlanda (ESSA)",101497,783124,317987
2014,"EVRA","Riga","Latvia","Riga (EVRA)",30226,237478,58977
2014,"EYVI","Vilnius","Lithuania","Vilnius (EYVI)",0,0,0
2014,"GCLP","Gran Canaria","Spain","Gran Canaria (GCLP)",47514,354680,79875
2014,"GCTS","Tenerife Sur/Reina Sofia","Spain","Tenerife Sur/Reina Sofia (GCTS)",28677,278360,42272
2014,"GCXO","Tenerife North","Spain","Tenerife North (GCXO)",25171,173525,28341
2014,"LBSF","Sofia","Bulgaria","Sofia (LBSF)",19669,206934,22813
2014,"LCLK","Larnaca","Cyprus","Larnaca (LCLK)",0,0,0
2014,"LEAL","Alicante","Spain","Alicante (LEAL)",34963,301869,53335
2014,"LEBB","Bilbao","Spain","Bilbao (LEBB)",20007,152586,5402
2014,"LEBL","Barcelona","Spain","Barcelona (LEBL)",127215,1232284,498719
2014,"LEIB","Ibiza","Spain","Ibiza (LEIB)",29014,170772,33895
2014,"LEMD","Madrid/ Barajas","Spain","Madrid/ Barajas (LEMD)",164653,1802936,644836
2014,"LEMG","Málaga","Spain","Málaga (LEMG)",52558,536536,122467
2014,"LEPA","Palma de Mallorca","Spain","Palma de Mallorca (LEPA)",80693,701347,220083
2014,"LEVC","Valencia","Spain","Valencia (LEVC)",26061,193352,40803
2014,"LEZL","Sevilla","Spain","Sevilla (LEZL)",18625,156822,26843
2014,"LFLL","Lyon-Saint-Exupéry","France","Lyon-Saint-Exupéry (LFLL)",51814,453530,50436
2014,"LFMN","Nice-Côte d’Azur","France","Nice-Côte d’Azur (LFMN)",0,0,0
2014,"LFPG","Paris-Charles-de-Gaulle","France","Paris-Charles-de-Gaulle (LFPG)",222736,2647364,873571
2014,"LFPO","Paris-Orly","France","Paris-Orly (LFPO)",107968,857997,216116
2014,"LFSB","Bâle-Mulhouse","France","Bâle-Mulhouse (LFSB)",38989,295306,70573
2014,"LGAV","Athens","Greece","Athens (LGAV)",70659,619756,83400
2014,"LHBP","Budapest/ Ferihegy","Hungary","Budapest/ Ferihegy (LHBP)",40943,354609,40858
2014,"LICC","Catania","Italy","Catania (LICC)",29580,234670,38251
2014,"LIMC","Milan/ Malpensa","Italy","Milan/ Malpensa (LIMC)",73614,740430,247812
2014,"LIME","Bergamo","Italy","Bergamo (LIME)",32509,401683,71981
2014,"LIML","Milan/ Linate","Italy","Milan/ Linate (LIML)",42290,396955,91058
2014,"LIPE","Bologna","Italy","Bologna (LIPE)",0,0,0
2014,"LIPZ","Venice","Italy","Venice (LIPZ)",38562,340956,49491
2014,"LIRF","Rome/Fiumicino","Italy","Rome/Fiumicino (LIRF)",143197,1599441,972979
2014,"LIRN","Naples","Italy","Naples (LIRN)",26847,175421,46890
2014,"LJLJ","Ljubljana","Slovenia","Ljubljana (LJLJ)",0,0,0
2014,"LKPR","Prague","Czech Republic","Prague (LKPR)",56841,457530,105448
2014,"LMML","Malta","Malta","Malta (LMML)",0,0,0
2014,"LOWW","Vienna","Austria","Vienna (LOWW)",111953,742839,241492
2014,"LPPR","Porto","Portugal","Porto (LPPR)",31026,222112,37182
2014,"LPPT","Lisbon","Portugal","Lisbon (LPPT)",76742,683716,204635
2014,"LROP","Bucharest/ Otopeni","Romania","Bucharest/ Otopeni (LROP)",0,0,0
2014,"LSGG","Geneva","Switzerland","Geneva (LSGG)",86710,593101,249753
2014,"LSZH","Zürich","Switzerland","Zürich (LSZH)",122464,1064638,349694
2014,"LZIB","Bratislava","Slovakia","Bratislava (LZIB)",0,0,0
2014,NA,"Austria","Austria",NA,111953,742839,241492
2014,NA,"Belgium","Belgium",NA,104897,875936,251020
2014,NA,"Bulgaria","Bulgaria",NA,19669,206934,22813
2014,NA,"Cyprus","Cyprus",NA,0,0,0
2014,NA,"Czech Republic","Czech Republic",NA,56841,457530,105448
2014,NA,"Denmark","Denmark",NA,116473,1059392,202702
2014,NA,"Estonia","Estonia",NA,0,0,0
2014,NA,"Finland","Finland",NA,78404,581086,160300
2014,NA,"France","France",NA,421507,4254197,1210696
2014,NA,"Germany","Germany",NA,819183,7565971,1916702
2014,NA,"Greece","Greece",NA,70659,619756,83400
2014,NA,"Hungary","Hungary",NA,40943,354609,40858
2014,NA,"Ireland","Ireland",NA,80647,750916,266469
2014,NA,"Italy","Italy",NA,386599,3889556,1518462
2014,NA,"Latvia","Latvia",NA,30226,237478,58977
2014,NA,"Lithuania","Lithuania",NA,0,0,0
2014,NA,"Luxembourg","Luxembourg",NA,0,0,0
2014,NA,"Malta","Malta",NA,0,0,0
2014,NA,"Netherlands","Netherlands",NA,204686,1979133,581771
2014,NA,"Norway","Norway",NA,0,0,0
2014,NA,"Poland","Poland",NA,65783,515352,193679
2014,NA,"Portugal","Portugal",NA,107768,905828,241817
2014,NA,"Romania","Romania",NA,0,0,0
2014,NA,"SES","SES",NA,4198227,39117681,12657087
2014,NA,"Slovakia","Slovakia",NA,0,0,0
2014,NA,"Slovenia","Slovenia",NA,0,0,0
2014,NA,"Spain","Spain",NA,655151,6055069,1796871
2014,NA,"Sweden","Sweden",NA,101497,783124,317987
2014,NA,"Switzerland","Switzerland",NA,209174,1657739,599447
2014,NA,"United Kingdom","United Kingdom",NA,751079,7841847,3486924
2015,"EBBR","Brussels","Belgium","Brussels (EBBR)",105555,894323,247678
2015,"EBCI","Charleroi","Belgium","Charleroi (EBCI)",30063,243363,33242
2015,"EDDB","Berlin/ Schoenefeld","Germany","Berlin/ Schoenefeld (EDDB)",36244,402489,51275
2015,"EDDF","Frankfurt","Germany","Frankfurt (EDDF)",219883,2418104,884056
2015,"EDDH","Hamburg","Germany","Hamburg (EDDH)",74154,480372,140766
2015,"EDDK","Cologne-Bonn","Germany","Cologne-Bonn (EDDK)",57881,522512,91879
2015,"EDDL","Dusseldorf","Germany","Dusseldorf (EDDL)",98428,852772,270000
2015,"EDDM","Munich","Germany","Munich (EDDM)",170189,1521011,529603
2015,"EDDN","Nuremberg","Germany","Nuremberg (EDDN)",24725,170891,31647
2015,"EDDP","Leipzig-Halle","Germany","Leipzig-Halle (EDDP)",30039,343188,51336
2015,"EDDS","Stuttgart","Germany","Stuttgart (EDDS)",57759,443069,129546
2015,"EDDT","Berlin/ Tegel","Germany","Berlin/ Tegel (EDDT)",88112,680882,156165
2015,"EDDV","Hanover","Germany","Hanover (EDDV)",29470,240919,27578
2015,"EETN","Tallinn","Estonia","Tallinn (EETN)",0,0,0
2015,"EFHK","Helsinki/ Vantaa","Finland","Helsinki/ Vantaa (EFHK)",79205,586474,155656
2015,"EGBB","Birmingham","United Kingdom","Birmingham (EGBB)",48014,419960,108731
2015,"EGCC","Manchester","United Kingdom","Manchester (EGCC)",79025,849333,306166
2015,"EGGD","Bristol","United Kingdom","Bristol (EGGD)",7238,57644,8506
2015,"EGGW","London/ Luton","United Kingdom","London/ Luton (EGGW)",57248,518348,217184
2015,"EGKK","London/ Gatwick","United Kingdom","London/ Gatwick (EGKK)",118763,1262672,834657
2015,"EGLC","London/ City","United Kingdom","London/ City (EGLC)",42303,209421,107787
2015,"EGLL","London/ Heathrow","United Kingdom","London/ Heathrow (EGLL)",225281,3091082,1793802
2015,"EGNT","Newcastle","United Kingdom","Newcastle (EGNT)",0,0,0
2015,"EGPD","Aberdeen","United Kingdom","Aberdeen (EGPD)",25650,221715,65544
2015,"EGPF","Glasgow","United Kingdom","Glasgow (EGPF)",42305,415735,108248
2015,"EGPH","Edinburgh","United Kingdom","Edinburgh (EGPH)",53376,525773,88377
2015,"EGSS","London/ Stansted","United Kingdom","London/ Stansted (EGSS)",79292,785278,211355
2015,"EHAM","Amsterdam/ Schiphol","Netherlands","Amsterdam/ Schiphol (EHAM)",210598,2054243,569045
2015,"EIDW","Dublin","Ireland","Dublin (EIDW)",84676,758654,456058
2015,"EKCH","Copenhagen/ Kastrup","Denmark","Copenhagen/ Kastrup (EKCH)",117746,1068863,225993
