YEAR,ENTITY,TRAFFIC,TYPE,ENTITY_TYPE
2011,Germany,3078,Actual,State
2012,Germany,3018,Actual,State
2013,Germany,2990,Actual,State
2014,Germany,3030,Actual,State
2015,Germany,3080,Actual,State
2016,Germany,3146,Actual,State
2017,Germany,3259,Actual,State
2015,Germany,3083,2014-H,State
2016,Germany,3195,2014-H,State
2017,Germany,3309,2014-H,State
2018,Germany,3416,2014-H,State
2019,Germany,3514,2014-H,State
2020,Germany,3627,2014-H,State
2021,Germany,3709,2014-H,State
2015,Germany,3059,2014-B,State
2016,Germany,3142,2014-B,State
2017,Germany,3208,2014-B,State
2018,Germany,3274,2014-B,State
2019,Germany,3338,2014-B,State
2020,Germany,3412,2014-B,State
2021,Germany,3459,2014-B,State
2015,Germany,3027,2014-L,State
2016,Germany,3076,2014-L,State
2017,Germany,3087,2014-L,State
2018,Germany,3109,2014-L,State
2019,Germany,3143,2014-L,State
2020,Germany,3162,2014-L,State
2021,Germany,3173,2014-L,State
2018,Germany,3387,2018-H,State
2019,Germany,3497,2018-H,State
2020,Germany,3648,2018-H,State
2021,Germany,3747,2018-H,State
2018,Germany,3349,2018-B,State
2019,Germany,3428,2018-B,State
2020,Germany,3501,2018-B,State
2021,Germany,3559,2018-B,State
2018,Germany,3309,2018-L,State
2019,Germany,3355,2018-L,State
2020,Germany,3366,2018-L,State
2021,Germany,3369,2018-L,State
2011,France,2968,Actual,State
2012,France,2923,Actual,State
2013,France,2902,Actual,State
2014,France,2947,Actual,State
2015,France,2992,Actual,State
2016,France,3124,Actual,State
2017,France,3241,Actual,State
2014,France,2978,2014-H,State
2015,France,3065,2014-H,State
2016,France,3181,2014-H,State
2017,France,3270,2014-H,State
2018,France,3367,2014-H,State
2019,France,3463,2014-H,State
2020,France,3549,2014-H,State
2014,France,2944,2014-B,State
2015,France,3005,2014-B,State
2016,France,3076,2014-B,State
2017,France,3127,2014-B,State
2018,France,3187,2014-B,State
2019,France,3254,2014-B,State
2020,France,3323,2014-B,State
2014,France,2905,2014-L,State
2015,France,2935,2014-L,State
2016,France,2947,2014-L,State
2017,France,2957,2014-L,State
2018,France,2976,2014-L,State
2019,France,3002,2014-L,State
2020,France,3031,2014-L,State
2018,France,3361,2018-H,State
2019,France,3472,2018-H,State
2020,France,3638,2018-H,State
2021,France,3724,2018-H,State
2018,France,3323,2018-B,State
2019,France,3402,2018-B,State
2020,France,3486,2018-B,State
2021,France,3539,2018-B,State
2018,France,3282,2018-L,State
2019,France,3328,2018-L,State
2020,France,3338,2018-L,State
2021,France,3340,2018-L,State
2011,Poland,655,Actual,State
2012,Poland,684,Actual,State
2013,Poland,692,Actual,State
2014,Poland,702,Actual,State
2015,Poland,699,Actual,State
2016,Poland,755,Actual,State
2017,Poland,793,Actual,State
2014,Poland,722,2014-H,State
2015,Poland,764,2014-H,State
2016,Poland,821,2014-H,State
